Year,Month,Day,Tmax,Tmin,Precip,Snow,Snowcover,,,,,,,,,,,,,,,,,
2024,1,1,56,21,0,0,0,,,,,,,,,,,,,,,,,
2024,1,2,48,22,0,0,0,,,,,,,,,,,,,,,,,
2024,1,3,46,21,0,0,0,,,,,,,,,,,,,,,,,
2024,1,4,35,21,0,0,0,,,,,,,,,,,,,,,,,
2024,1,5,42,20,0,0,0,,,,,,,,,,,,,,,,,
2024,1,6,41,16,0,0,0,,,,,,,,,,,,,,,,,
2024,1,7,38,20,0,0,0,,,,,,,,,,,,,,,,,
2024,1,8,34,19,0.1,2.3,2,,,,,,,,,,,,,,,,,
2024,1,9,45,11,0,0,1,,,,,,,,,,,,,,,,,
2024,1,10,38,28,0,0,1,,,,,,,,,,,,,,,,,
2024,1,11,32,16,0,0,1,,,,,,,,,,,,,,,,,
2024,1,12,32,5,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,13,29,-11,0.19,2.7,2,,,,,,,,,,,,,,,,,
2024,1,14,10,-7,0.09,1,3,,,,,,,,,,,,,,,,,
2024,1,15,2,-11,0.2,3.4,6,,,,,,,,,,,,,,,,,
2024,1,16,37,-14,0,0,5,,,,,,,,,,,,,,,,,
2024,1,17,45,22,0,0,4,,,,,,,,,,,,,,,,,
2024,1,18,48,20,-999,-999,3,,,,,,,,,,,,,,,,,
2024,1,19,33,11,0,0,3,,,,,,,,,,,,,,,,,
2024,1,20,35,16,0,0,3,,,,,,,,,,,,,,,,,
2024,1,21,52,27,0,0,2,,,,,,,,,,,,,,,,,
2024,1,22,52,27,0,0,1,,,,,,,,,,,,,,,,,
2024,1,23,51,26,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,24,51,26,-999,0,-999,,,,,,,,,,,,,,,,,
2024,1,25,50,24,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,26,44,31,0.12,1.4,-999,,,,,,,,,,,,,,,,,
2024,1,27,50,24,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,28,61,28,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,29,61,33,0,0,-999,,,,,,,,,,,,,,,,,
2024,1,30,62,27,0,0,0,,,,,,,,,,,,,,,,,
2024,1,31,63,29,0,0,0,,,,,,,,,,,,,,,,,
2024,2,1,64,35,0,0,0,,,,,,,,,,,,,,,,,
2024,2,2,52,31,0,0,0,,,,,,,,,,,,,,,,,
2024,2,3,45,31,1.58,8.5,9,,,,,,,,,,,,,,,,,
2024,2,4,43,22,0.16,0.6,6,,,,,,,,,,,,,,,,,
2024,2,5,44,20,0,0,5,,,,,,,,,,,,,,,,,
2024,2,6,53,29,0,0,5,,,,,,,,,,,,,,,,,
2024,2,7,50,29,0,0,4,,,,,,,,,,,,,,,,,
2024,2,8,51,32,0,0,3,,,,,,,,,,,,,,,,,
2024,2,9,41,23,0,0,3,,,,,,,,,,,,,,,,,
2024,2,10,33,28,0.09,1.5,4,,,,,,,,,,,,,,,,,
2024,2,11,36,13,0.04,0.7,4,,,,,,,,,,,,,,,,,
2024,2,12,51,21,0,0,4,,,,,,,,,,,,,,,,,
2024,2,13,54,26,0,0,2,,,,,,,,,,,,,,,,,
2024,2,14,50,24,0,0,2,,,,,,,,,,,,,,,,,
2024,2,15,49,25,0,0,2,,,,,,,,,,,,,,,,,
2024,2,16,39,23,0.2,2.4,4,,,,,,,,,,,,,,,,,
2024,2,17,35,5,0.22,4,4,,,,,,,,,,,,,,,,,
2024,2,18,46,12,0,0,3,,,,,,,,,,,,,,,,,
2024,2,19,56,37,0,0,1,,,,,,,,,,,,,,,,,
2024,2,20,66,31,0,0,-999,,,,,,,,,,,,,,,,,
2024,2,21,61,39,0,0,-999,,,,,,,,,,,,,,,,,
2024,2,22,52,31,0.02,-999,-999,,,,,,,,,,,,,,,,,
2024,2,23,54,28,0,0,-999,,,,,,,,,,,,,,,,,
2024,2,24,60,26,0,0,-999,,,,,,,,,,,,,,,,,
2024,2,25,61,45,0,0,0,,,,,,,,,,,,,,,,,
2024,2,26,62,40,-999,0,0,,,,,,,,,,,,,,,,,
2024,2,27,55,25,0.15,1.5,-999,,,,,,,,,,,,,,,,,
2024,2,28,54,18,0,0,0,,,,,,,,,,,,,,,,,
2024,2,29,63,25,0,0,0,,,,,,,,,,,,,,,,,
2024,3,1,65,35,0,0,0,,,,,,,,,,,,,,,,,
2024,3,2,68,34,0,0,0,,,,,,,,,,,,,,,,,
2024,3,3,58,33,0.03,0,0,,,,,,,,,,,,,,,,,
2024,3,4,47,22,0,0,0,,,,,,,,,,,,,,,,,
2024,3,5,47,21,0,0,0,,,,,,,,,,,,,,,,,
2024,3,6,60,24,0,0,0,,,,,,,,,,,,,,,,,
2024,3,7,54,33,0.03,-999,-999,,,,,,,,,,,,,,,,,
2024,3,8,34,26,0.22,1.6,1,,,,,,,,,,,,,,,,,
2024,3,9,53,19,0,0,0,,,,,,,,,,,,,,,,,
2024,3,10,66,26,0,0,0,,,,,,,,,,,,,,,,,
2024,3,11,65,37,0,0,0,,,,,,,,,,,,,,,,,
2024,3,12,59,34,0,0,0,,,,,,,,,,,,,,,,,
2024,3,13,53,29,-999,0,0,,,,,,,,,,,,,,,,,
2024,3,14,43,31,2.33,14.8,13,,,,,,,,,,,,,,,,,
2024,3,15,47,30,0.66,7.1,14,,,,,,,,,,,,,,,,,
2024,3,16,50,28,0,0,9,,,,,,,,,,,,,,,,,
2024,3,17,48,32,0,0,6,,,,,,,,,,,,,,,,,
2024,3,18,56,27,0,0,3,,,,,,,,,,,,,,,,,
2024,3,19,60,32,0,0,2,,,,,,,,,,,,,,,,,
2024,3,20,58,33,0,0,-999,,,,,,,,,,,,,,,,,
2024,3,21,66,32,0,0,-999,,,,,,,,,,,,,,,,,
2024,3,22,63,30,0,0,-999,,,,,,,,,,,,,,,,,
2024,3,23,62,29,0,0,0,,,,,,,,,,,,,,,,,
2024,3,24,57,30,0.06,0.3,-999,,,,,,,,,,,,,,,,,
2024,3,25,34,16,0.5,5.8,3,,,,,,,,,,,,,,,,,
2024,3,26,39,17,0,0,1,,,,,,,,,,,,,,,,,
2024,3,27,53,24,0,0,0,,,,,,,,,,,,,,,,,
2024,3,28,65,30,0,0,0,,,,,,,,,,,,,,,,,
2024,3,29,56,34,0.08,0,0,,,,,,,,,,,,,,,,,
2024,3,30,56,38,0.02,0,0,,,,,,,,,,,,,,,,,
2024,3,31,54,33,0,0,0,,,,,,,,,,,,,,,,,
2024,4,1,52,36,0.44,-999,0,,,,,,,,,,,,,,,,,
2024,4,2,59,29,0.26,-999,0,,,,,,,,,,,,,,,,,
2024,4,3,70,40,0,0,0,,,,,,,,,,,,,,,,,
2024,4,4,73,38,0,0,0,,,,,,,,,,,,,,,,,
2024,4,5,75,40,0,0,0,,,,,,,,,,,,,,,,,
2024,4,6,70,33,0,0,0,,,,,,,,,,,,,,,,,
2024,4,7,55,37,0,0,0,,,,,,,,,,,,,,,,,
2024,4,8,58,30,0,0,0,,,,,,,,,,,,,,,,,
2024,4,9,61,29,0,0,0,,,,,,,,,,,,,,,,,
2024,4,10,62,34,0,0,0,,,,,,,,,,,,,,,,,
2024,4,11,60,33,0,0,0,,,,,,,,,,,,,,,,,
2024,4,12,76,33,0,0,0,,,,,,,,,,,,,,,,,
2024,4,13,77,47,0,0,0,,,,,,,,,,,,,,,,,
2024,4,14,80,43,0,0,0,,,,,,,,,,,,,,,,,
2024,4,15,76,42,0,0,0,,,,,,,,,,,,,,,,,
2024,4,16,67,42,-999,0,0,,,,,,,,,,,,,,,,,
2024,4,17,75,47,-999,0,0,,,,,,,,,,,,,,,,,
2024,4,18,53,31,0.4,0.3,-999,,,,,,,,,,,,,,,,,
2024,4,19,38,31,0.55,3.5,2,,,,,,,,,,,,,,,,,
2024,4,20,36,29,0.47,5.3,5,,,,,,,,,,,,,,,,,
2024,4,21,60,25,-999,0,0,,,,,,,,,,,,,,,,,
2024,4,22,74,41,0,0,0,,,,,,,,,,,,,,,,,
2024,4,23,69,42,-999,0,0,,,,,,,,,,,,,,,,,
2024,4,24,73,37,0.04,0,0,,,,,,,,,,,,,,,,,
2024,4,25,68,40,0.07,0,0,,,,,,,,,,,,,,,,,
2024,4,26,69,45,-999,0,0,,,,,,,,,,,,,,,,,
2024,4,27,50,32,1.93,0.6,0,,,,,,,,,,,,,,,,,
2024,4,28,63,35,0.23,0,0,,,,,,,,,,,,,,,,,
2024,4,29,69,39,0,0,0,,,,,,,,,,,,,,,,,
2024,4,30,73,43,0.06,0,0,,,,,,,,,,,,,,,,,
2024,5,1,70,40,-999,0,0,,,,,,,,,,,,,,,,,
2024,5,2,60,34,0,0,0,,,,,,,,,,,,,,,,,
2024,5,3,72,35,0,0,0,,,,,,,,,,,,,,,,,
2024,5,4,63,37,0,0,0,,,,,,,,,,,,,,,,,
2024,5,5,71,36,0,0,0,,,,,,,,,,,,,,,,,
2024,5,6,68,46,0,0,0,,,,,,,,,,,,,,,,,
2024,5,7,53,44,-999,0,0,,,,,,,,,,,,,,,,,
2024,5,8,59,35,0.01,0,0,,,,,,,,,,,,,,,,,
2024,5,9,57,41,-999,0,0,,,,,,,,,,,,,,,,,
2024,5,10,56,41,0.15,0,0,,,,,,,,,,,,,,,,,
2024,5,11,65,35,0,0,0,,,,,,,,,,,,,,,,,
2024,5,12,64,47,0.16,0,0,,,,,,,,,,,,,,,,,
2024,5,13,73,41,-999,0,0,,,,,,,,,,,,,,,,,
2024,5,14,76,50,-999,0,0,,,,,,,,,,,,,,,,,
2024,5,15,70,42,0,0,0,,,,,,,,,,,,,,,,,
2024,5,16,74,43,0,0,0,,,,,,,,,,,,,,,,,
2024,5,17,82,50,0,0,0,,,,,,,,,,,,,,,,,
2024,5,18,75,50,0.01,0,0,,,,,,,,,,,,,,,,,
2024,5,19,81,50,0,0,0,,,,,,,,,,,,,,,,,
2024,5,20,66,43,-999,0,0,,,,,,,,,,,,,,,,,
2024,5,21,61,41,0.08,0,0,,,,,,,,,,,,,,,,,
2024,5,22,73,33,0,0,0,,,,,,,,,,,,,,,,,
2024,5,23,81,35,0,0,0,,,,,,,,,,,,,,,,,
2024,5,24,72,34,0,0,0,,,,,,,,,,,,,,,,,
2024,5,25,74,41,-999,0,0,,,,,,,,,,,,,,,,,
2024,5,26,73,44,0,0,0,,,,,,,,,,,,,,,,,
2024,5,27,77,46,0,0,0,,,,,,,,,,,,,,,,,
2024,5,28,81,44,0,0,0,,,,,,,,,,,,,,,,,
2024,5,29,81,44,0.02,0,0,,,,,,,,,,,,,,,,,
2024,5,30,79,49,-999,0,0,,,,,,,,,,,,,,,,,
2024,5,31,73,51,0.01,0,0,,,,,,,,,,,,,,,,,
2024,6,1,82,46,-999,0,0,,,,,,,,,,,,,,,,,
2024,6,2,85,48,0,0,0,,,,,,,,,,,,,,,,,
2024,6,3,85,50,0,0,0,,,,,,,,,,,,,,,,,
2024,6,4,83,56,0,0,0,,,,,,,,,,,,,,,,,
2024,6,5,90,53,0,0,0,,,,,,,,,,,,,,,,,
2024,6,6,88,53,0,0,0,,,,,,,,,,,,,,,,,
2024,6,7,93,53,-999,0,0,,,,,,,,,,,,,,,,,
2024,6,8,86,60,0.01,0,0,,,,,,,,,,,,,,,,,
2024,6,9,79,51,0.05,0,0,,,,,,,,,,,,,,,,,
2024,6,10,83,52,0.05,0,0,,,,,,,,,,,,,,,,,
2024,6,11,87,53,-999,0,0,,,,,,,,,,,,,,,,,
2024,6,12,94,56,-999,0,0,,,,,,,,,,,,,,,,,
2024,6,13,99,53,0,0,0,,,,,,,,,,,,,,,,,
2024,6,14,82,59,0.01,0,0,,,,,,,,,,,,,,,,,
2024,6,15,90,54,0,0,0,,,,,,,,,,,,,,,,,
2024,6,16,86,54,0,0,0,,,,,,,,,,,,,,,,,
2024,6,17,83,53,0,0,0,,,,,,,,,,,,,,,,,
2024,6,18,83,56,0,0,0,,,,,,,,,,,,,,,,,
2024,6,19,76,46,0.03,0,0,,,,,,,,,,,,,,,,,
2024,6,20,88,52,0.01,0,0,,,,,,,,,,,,,,,,,
2024,6,21,82,50,0.02,0,0,,,,,,,,,,,,,,,,,
2024,6,22,93,52,-999,0,0,,,,,,,,,,,,,,,,,
2024,6,23,96,57,-999,0,0,,,,,,,,,,,,,,,,,
2024,6,24,96,61,0,0,0,,,,,,,,,,,,,,,,,
2024,6,25,98,62,0,0,0,,,,,,,,,,,,,,,,,
2024,6,26,85,59,0.08,0,0,,,,,,,,,,,,,,,,,
2024,6,27,92,58,0,0,0,,,,,,,,,,,,,,,,,
2024,6,28,93,71,-999,0,0,,,,,,,,,,,,,,,,,
2024,6,29,82,53,-999,0,0,,,,,,,,,,,,,,,,,
2024,6,30,90,55,0.01,0,0,,,,,,,,,,,,,,,,,
2024,7,1,90,64,-999,0,0,,,,,,,,,,,,,,,,,
2024,7,2,87,58,0.02,0,0,,,,,,,,,,,,,,,,,
2024,7,3,93,53,0,0,0,,,,,,,,,,,,,,,,,
2024,7,4,83,48,0,0,0,,,,,,,,,,,,,,,,,
2024,7,5,79,53,0,0,0,,,,,,,,,,,,,,,,,
2024,7,6,91,54,0,0,0,,,,,,,,,,,,,,,,,
2024,7,7,89,53,-999,0,0,,,,,,,,,,,,,,,,,
2024,7,8,82,47,0,0,0,,,,,,,,,,,,,,,,,
2024,7,9,86,52,0,0,0,,,,,,,,,,,,,,,,,
2024,7,10,92,55,0,0,0,,,,,,,,,,,,,,,,,
2024,7,11,96,56,0,0,0,,,,,,,,,,,,,,,,,
2024,7,12,99,59,0,0,0,,,,,,,,,,,,,,,,,
2024,7,13,98,59,0,0,0,,,,,,,,,,,,,,,,,
2024,7,14,98,64,0,0,0,,,,,,,,,,,,,,,,,
2024,7,15,95,67,0.08,0,0,,,,,,,,,,,,,,,,,
2024,7,16,89,60,0.07,0,0,,,,,,,,,,,,,,,,,
2024,7,17,86,57,-999,0,0,,,,,,,,,,,,,,,,,
2024,7,18,86,53,0,0,0,,,,,,,,,,,,,,,,,
2024,7,19,87,58,0.04,0,0,,,,,,,,,,,,,,,,,
2024,7,20,84,56,0,0,0,,,,,,,,,,,,,,,,,
2024,7,21,79,57,0.03,0,0,,,,,,,,,,,,,,,,,
2024,7,22,84,52,-999,0,0,,,,,,,,,,,,,,,,,
2024,7,23,89,52,0,0,0,,,,,,,,,,,,,,,,,
2024,7,24,94,56,0,0,0,,,,,,,,,,,,,,,,,
2024,7,25,97,56,0,0,0,,,,,,,,,,,,,,,,,
2024,7,26,88,64,0.01,0,0,,,,,,,,,,,,,,,,,
2024,7,27,90,59,-999,0,0,,,,,,,,,,,,,,,,,
2024,7,28,96,55,0.01,0,0,,,,,,,,,,,,,,,,,
2024,7,29,97,57,0,0,0,,,,,,,,,,,,,,,,,
2024,7,30,99,63,0,0,0,,,,,,,,,,,,,,,,,
2024,7,31,95,58,0,0,0,,,,,,,,,,,,,,,,,
2024,8,1,97,58,0,0,0,,,,,,,,,,,,,,,,,
2024,8,2,97,61,0,0,0,,,,,,,,,,,,,,,,,
2024,8,3,97,59,0,0,0,,,,,,,,,,,,,,,,,
2024,8,4,96,61,0,0,0,,,,,,,,,,,,,,,,,
2024,8,5,92,65,0.06,0,0,,,,,,,,,,,,,,,,,
2024,8,6,94,59,0.09,0,0,,,,,,,,,,,,,,,,,
2024,8,7,89,60,-999,0,0,,,,,,,,,,,,,,,,,
2024,8,8,80,59,0.47,0,0,,,,,,,,,,,,,,,,,
2024,8,9,65,56,0.15,0,0,,,,,,,,,,,,,,,,,
2024,8,10,81,53,-999,0,0,,,,,,,,,,,,,,,,,
2024,8,11,87,58,-999,0,0,,,,,,,,,,,,,,,,,
2024,8,12,87,58,0,0,0,,,,,,,,,,,,,,,,,
2024,8,13,85,61,0.3,0,0,,,,,,,,,,,,,,,,,
2024,8,14,89,55,-999,0,0,,,,,,,,,,,,,,,,,
2024,8,15,85,57,0.03,0,0,,,,,,,,,,,,,,,,,
2024,8,16,91,53,0.03,0,0,,,,,,,,,,,,,,,,,
2024,8,17,95,56,0,0,0,,,,,,,,,,,,,,,,,
2024,8,18,95,65,-999,0,0,,,,,,,,,,,,,,,,,
2024,8,19,88,62,0.64,0,0,,,,,,,,,,,,,,,,,
2024,8,20,93,57,0,0,0,,,,,,,,,,,,,,,,,
2024,8,21,92,61,0,0,0,,,,,,,,,,,,,,,,,
2024,8,22,86,61,0.01,0,0,,,,,,,,,,,,,,,,,
2024,8,23,84,56,0.08,0,0,,,,,,,,,,,,,,,,,
2024,8,24,88,61,0.07,0,0,,,,,,,,,,,,,,,,,
2024,8,25,89,61,-999,0,0,,,,,,,,,,,,,,,,,
2024,8,26,82,56,0.29,0,0,,,,,,,,,,,,,,,,,
2024,8,27,86,51,0,0,0,,,,,,,,,,,,,,,,,
2024,8,28,91,53,0,0,0,,,,,,,,,,,,,,,,,
2024,8,29,86,59,0,0,0,,,,,,,,,,,,,,,,,
2024,8,30,86,51,0,0,0,,,,,,,,,,,,,,,,,
2024,8,31,88,51,0,0,0,,,,,,,,,,,,,,,,,
2024,9,1,87,50,0,0,0,,,,,,,,,,,,,,,,,
2024,9,2,90,51,0,0,0,,,,,,,,,,,,,,,,,
2024,9,3,92,57,0,0,0,,,,,,,,,,,,,,,,,
2024,9,4,87,60,0.01,0,0,,,,,,,,,,,,,,,,,
2024,9,5,74,49,0.33,0,0,,,,,,,,,,,,,,,,,
2024,9,6,83,47,0,0,0,,,,,,,,,,,,,,,,,
2024,9,7,87,50,0,0,0,,,,,,,,,,,,,,,,,
2024,9,8,87,52,-999,0,0,,,,,,,,,,,,,,,,,
2024,9,9,87,55,-999,0,0,,,,,,,,,,,,,,,,,
2024,9,10,89,56,0,0,0,,,,,,,,,,,,,,,,,
2024,9,11,86,54,0.03,0,0,,,,,,,,,,,,,,,,,
2024,9,12,91,50,0,0,0,,,,,,,,,,,,,,,,,
2024,9,13,80,48,0,0,0,,,,,,,,,,,,,,,,,
2024,9,14,87,49,0,0,0,,,,,,,,,,,,,,,,,
2024,9,15,86,52,-999,0,0,,,,,,,,,,,,,,,,,
2024,9,16,85,51,0,0,0,,,,,,,,,,,,,,,,,
2024,9,17,86,54,-999,0,0,,,,,,,,,,,,,,,,,
2024,9,18,84,43,0,0,0,,,,,,,,,,,,,,,,,
2024,9,19,84,43,0,0,0,,,,,,,,,,,,,,,,,
2024,9,20,83,52,0,0,0,,,,,,,,,,,,,,,,,
2024,9,21,78,51,-999,0,0,,,,,,,,,,,,,,,,,
2024,9,22,63,45,0.95,0,0,,,,,,,,,,,,,,,,,
2024,9,23,82,42,0,0,0,,,,,,,,,,,,,,,,,
2024,9,24,76,46,0,0,0,,,,,,,,,,,,,,,,,
2024,9,25,85,49,0,0,0,,,,,,,,,,,,,,,,,
2024,9,26,92,51,0,0,0,,,,,,,,,,,,,,,,,
2024,9,27,85,55,0,0,0,,,,,,,,,,,,,,,,,
2024,9,28,87,51,0,0,0,,,,,,,,,,,,,,,,,
2024,9,29,86,47,0,0,0,,,,,,,,,,,,,,,,,
2024,9,30,87,60,0,0,0,,,,,,,,,,,,,,,,,
2024,10,1,70,37,0,0,0,,,,,,,,,,,,,,,,,
2024,10,2,89,45,0,0,0,,,,,,,,,,,,,,,,,
2024,10,3,69,49,0,0,0,,,,,,,,,,,,,,,,,
2024,10,4,81,38,0,0,0,,,,,,,,,,,,,,,,,
2024,10,5,87,54,0,0,0,,,,,,,,,,,,,,,,,
2024,10,6,75,41,0,0,0,,,,,,,,,,,,,,,,,
2024,10,7,83,44,0,0,0,,,,,,,,,,,,,,,,,
2024,10,8,84,44,0,0,0,,,,,,,,,,,,,,,,,
2024,10,9,82,49,0,0,0,,,,,,,,,,,,,,,,,
2024,10,10,86,51,0,0,0,,,,,,,,,,,,,,,,,
2024,10,11,70,51,0,0,0,,,,,,,,,,,,,,,,,
2024,10,12,78,47,0,0,0,,,,,,,,,,,,,,,,,
2024,10,13,66,45,0,0,0,,,,,,,,,,,,,,,,,
2024,10,14,82,38,0,0,0,,,,,,,,,,,,,,,,,
2024,10,15,72,46,0,0,0,,,,,,,,,,,,,,,,,
2024,10,16,78,37,-999,0,0,,,,,,,,,,,,,,,,,
2024,10,17,76,51,0,0,0,,,,,,,,,,,,,,,,,
2024,10,18,66,41,0.01,0,0,,,,,,,,,,,,,,,,,
2024,10,19,60,40,0.03,0,0,,,,,,,,,,,,,,,,,
2024,10,20,73,37,0,0,0,,,,,,,,,,,,,,,,,
2024,10,21,67,47,0.02,0,0,,,,,,,,,,,,,,,,,
2024,10,22,76,52,0,0,0,,,,,,,,,,,,,,,,,
2024,10,23,70,40,0,0,0,,,,,,,,,,,,,,,,,
2024,10,24,73,42,0,0,0,,,,,,,,,,,,,,,,,
2024,10,25,63,31,0,0,0,,,,,,,,,,,,,,,,,
2024,10,26,72,33,0,0,0,,,,,,,,,,,,,,,,,
2024,10,27,75,40,0,0,0,,,,,,,,,,,,,,,,,
2024,10,28,81,52,0,0,0,,,,,,,,,,,,,,,,,
2024,10,29,68,43,0.01,0,0,,,,,,,,,,,,,,,,,
2024,10,30,47,34,0.06,0,0,,,,,,,,,,,,,,,,,
2024,10,31,57,25,0,0,0,,,,,,,,,,,,,,,,,
2024,11,1,60,33,0,0,0,,,,,,,,,,,,,,,,,
2024,11,2,62,27,0,0,0,,,,,,,,,,,,,,,,,
2024,11,3,55,33,0.26,0,0,,,,,,,,,,,,,,,,,
2024,11,4,44,32,0.43,0.2,0,,,,,,,,,,,,,,,,,
2024,11,5,54,26,0,0,0,,,,,,,,,,,,,,,,,
2024,11,6,38,27,0.5,7.6,5,,,,,,,,,,,,,,,,,
2024,11,7,42,20,0.06,0.7,3,,,,,,,,,,,,,,,,,
2024,11,8,36,31,0.43,2.7,5,,,,,,,,,,,,,,,,,
2024,11,9,43,32,0.39,1.8,3,,,,,,,,,,,,,,,,,
2024,11,10,66,35,0,0,1,,,,,,,,,,,,,,,,,
2024,11,11,61,34,0,0,-999,,,,,,,,,,,,,,,,,
2024,11,12,61,28,0,0,0,,,,,,,,,,,,,,,,,
2024,11,13,53,30,0,0,0,,,,,,,,,,,,,,,,,
2024,11,14,62,31,0,0,0,,,,,,,,,,,,,,,,,
2024,11,15,54,29,0,0,0,,,,,,,,,,,,,,,,,
2024,11,16,55,29,0,0,0,,,,,,,,,,,,,,,,,
2024,11,17,58,40,0,0,0,,,,,,,,,,,,,,,,,
2024,11,18,60,26,0,0,0,,,,,,,,,,,,,,,,,
2024,11,19,45,28,-999,-999,0,,,,,,,,,,,,,,,,,
2024,11,20,48,19,0,0,0,,,,,,,,,,,,,,,,,
2024,11,21,52,29,0,0,0,,,,,,,,,,,,,,,,,
2024,11,22,62,38,0,0,0,,,,,,,,,,,,,,,,,
2024,11,23,68,41,0,0,0,,,,,,,,,,,,,,,,,
2024,11,24,62,38,0,0,0,,,,,,,,,,,,,,,,,
2024,11,25,49,29,0.05,0.3,0,,,,,,,,,,,,,,,,,
2024,11,26,53,28,0,0,0,,,,,,,,,,,,,,,,,
2024,11,27,43,22,0.52,6.9,6,,,,,,,,,,,,,,,,,
2024,11,28,38,14,0,0,4,,,,,,,,,,,,,,,,,
2024,11,29,48,17,0,0,3,,,,,,,,,,,,,,,,,
2024,11,30,54,21,0,0,2,,,,,,,,,,,,,,,,,
2024,12,1,51,23,0,0,2,,,,,,,,,,,,,,,,,
2024,12,2,52,24,0,0,1,,,,,,,,,,,,,,,,,
2024,12,3,63,29,0,0,-999,,,,,,,,,,,,,,,,,
2024,12,4,59,28,0,0,-999,,,,,,,,,,,,,,,,,
2024,12,5,57,24,0,0,-999,,,,,,,,,,,,,,,,,
2024,12,6,58,26,0,0,-999,,,,,,,,,,,,,,,,,
2024,12,7,61,27,0,0,-999,,,,,,,,,,,,,,,,,
2024,12,8,60,32,0,0,0,,,,,,,,,,,,,,,,,
2024,12,9,50,29,-999,-999,0,,,,,,,,,,,,,,,,,
2024,12,10,36,13,0.03,0.6,-999,,,,,,,,,,,,,,,,,
2024,12,11,54,31,0,0,0,,,,,,,,,,,,,,,,,
2024,12,12,53,25,0,0,0,,,,,,,,,,,,,,,,,
2024,12,13,51,19,0,0,0,,,,,,,,,,,,,,,,,
2024,12,14,56,31,0,0,0,,,,,,,,,,,,,,,,,
2024,12,15,52,38,0,0,0,,,,,,,,,,,,,,,,,
2024,12,16,47,22,0,0,0,,,,,,,,,,,,,,,,,
2024,12,17,52,24,0,0,0,,,,,,,,,,,,,,,,,
2024,12,18,59,21,0,0,0,,,,,,,,,,,,,,,,,
2024,12,19,60,35,0,0,0,,,,,,,,,,,,,,,,,
2024,12,20,66,24,0,0,0,,,,,,,,,,,,,,,,,
2024,12,21,63,31,0,0,0,,,,,,,,,,,,,,,,,
2024,12,22,56,42,0,0,0,,,,,,,,,,,,,,,,,
2024,12,23,50,35,0,0,0,,,,,,,,,,,,,,,,,
2024,12,24,51,29,0,0,0,,,,,,,,,,,,,,,,,
2024,12,25,53,32,0.13,0,0,,,,,,,,,,,,,,,,,
2024,12,26,43,27,0.13,0,0,,,,,,,,,,,,,,,,,
2024,12,27,47,30,0,0,0,,,,,,,,,,,,,,,,,
2024,12,28,53,26,0,0,0,,,,,,,,,,,,,,,,,
2024,12,29,55,31,0,0,0,,,,,,,,,,,,,,,,,
2024,12,30,57,32,0.02,0,0,,,,,,,,,,,,,,,,,
2024,12,31,35,15,0,0,0,,,,,,,,,,,,,,,,,
