Year,Month,Day,Tmax,Tmin,Precip,Snow,Snowcover
2024,1,1,40,28,0,0,0
2024,1,2,47,25,0,0,0
2024,1,3,41,25,0,0,0
2024,1,4,45,29,0,0,0
2024,1,5,51,24,-999,0,0
2024,1,6,46,27,0.5,0,0
2024,1,7,49,27,-999,0,0
2024,1,8,54,20,0.45,0,0
2024,1,9,52,17,0.61,-999,0
2024,1,10,47,29,0,0,0
2024,1,11,59,24,0,0,0
2024,1,12,57,20,1.1,0,0
2024,1,13,44,25,0,0,0
2024,1,14,37,16,0.17,1.3,1
2024,1,15,17,12,0.55,6.3,5
2024,1,16,19,7,0,0,6
2024,1,17,27,-1,0,0,5
2024,1,18,34,15,0.12,0,5
2024,1,19,34,13,-999,-999,3
2024,1,20,17,7,0,0,2
2024,1,21,32,4,0,0,2
2024,1,22,48,8,0,0,2
2024,1,23,57,21,-999,0,0
2024,1,24,61,23,0.69,0,0
2024,1,25,63,21,0.73,0,0
2024,1,26,65,34,0,0,0
2024,1,27,62,33,0.45,0,0
2024,1,28,43,29,0.02,0,0
2024,1,29,39,32,-999,-999,0
2024,1,30,60,27,0.01,0,0
2024,1,31,49,32,0,0,0
2024,2,1,58,28,0,0,0
2024,2,2,71,37,0,0,0
2024,2,3,68,39,0,0,0
2024,2,4,61,44,0,0,0
2024,2,5,65,42,0,0,0
2024,2,6,59,37,0,0,0
2024,2,7,69,30,0,0,0
2024,2,8,63,44,0,0,0
2024,2,9,62,37,0.49,0,0
2024,2,10,63,32,0.77,0,0
2024,2,11,56,38,0.22,0,0
2024,2,12,51,34,1.16,-999,-999
2024,2,13,55,26,0,0,0
2024,2,14,65,24,0,0,0
2024,2,15,69,39,0,0,0
2024,2,16,67,30,0.27,0,0
2024,2,17,37,26,0,0,0
2024,2,18,52,19,0,0,0
2024,2,19,60,19,0,0,0
2024,2,20,64,14,0,0,0
2024,2,21,71,12,0,0,0
2024,2,22,62,19,0.39,0,0
2024,2,23,66,22,-999,0,0
2024,2,24,51,26,0,0,0
2024,2,25,68,28,-999,0,0
2024,2,26,76,38,0,0,0
2024,2,27,75,49,-999,0,0
2024,2,28,73,34,0.51,0,0
2024,2,29,50,30,0,0,0
2024,3,1,50,32,0.23,0,0
2024,3,2,60,27,-999,0,0
2024,3,3,69,27,0,0,0
2024,3,4,78,47,0,0,0
2024,3,5,64,36,0.52,0,0
2024,3,6,62,36,0.46,0,0
2024,3,7,68,37,0,0,0
2024,3,8,68,46,0.27,0,0
2024,3,9,58,41,0.21,0,0
2024,3,10,55,36,0,0,0
2024,3,11,63,30,0,0,0
2024,3,12,72,37,0,0,0
2024,3,13,78,46,0,0,0
2024,3,14,81,56,0.37,0,0
2024,3,15,70,52,0.83,0,0
2024,3,16,70,40,0,0,0
2024,3,17,62,34,0,0,0
2024,3,18,47,30,0,0,0
2024,3,19,60,26,0,0,0
2024,3,20,73,33,0,0,0
2024,3,21,68,28,0,0,0
2024,3,22,77,47,0.17,0,0
2024,3,23,58,40,-999,0,0
2024,3,24,72,37,0,0,0
2024,3,25,69,50,0.12,0,0
2024,3,26,70,48,0.7,0,0
2024,3,27,59,42,0,0,0
2024,3,28,65,40,0,0,0
2024,3,29,73,38,0,0,0
2024,3,30,79,54,0,0,0
2024,3,31,77,45,0,0,0
2024,4,1,79,45,0,0,0
2024,4,2,74,53,0.98,0,0
2024,4,3,57,45,0.02,0,0
2024,4,4,56,42,0,0,0
2024,4,5,51,36,0,0,0
2024,4,6,63,37,0,0,0
2024,4,7,77,40,0,0,0
2024,4,8,74,38,0.05,0,0
2024,4,9,64,33,0.4,0,0
2024,4,10,70,50,0.1,0,0
2024,4,11,70,46,0.35,0,0
2024,4,12,67,38,0,0,0
2024,4,13,80,38,0,0,0
2024,4,14,87,56,0,0,0
2024,4,15,86,45,0,0,0
2024,4,16,87,40,-999,0,0
2024,4,17,80,47,0.06,0,0
2024,4,18,87,62,0,0,0
2024,4,19,73,58,0.02,0,0
2024,4,20,67,48,0.36,0,0
2024,4,21,61,46,0,0,0
2024,4,22,67,37,0,0,0
2024,4,23,76,42,0,0,0
2024,4,24,77,56,0.04,0,0
2024,4,25,74,47,-999,0,0
2024,4,26,84,54,0.25,0,0
2024,4,27,83,53,0,0,0
2024,4,28,82,53,0,0,0
2024,4,29,82,64,1.33,0,0
2024,4,30,81,62,0.56,0,0
2024,5,1,87,58,0,0,0
2024,5,2,87,62,0,0,0
2024,5,3,81,53,0.28,0,0
2024,5,4,77,49,0.82,0,0
2024,5,5,85,49,0,0,0
2024,5,6,81,49,0.54,0,0
2024,5,7,82,59,0.03,0,0
2024,5,8,82,61,0.63,0,0
2024,5,9,84,57,1.7,0,0
2024,5,10,71,53,0,0,0
2024,5,11,80,50,0,0,0
2024,5,12,81,50,0,0,0
2024,5,13,72,59,0.02,0,0
2024,5,14,78,59,0.73,0,0
2024,5,15,77,59,0.03,0,0
2024,5,16,82,61,0,0,0
2024,5,17,73,64,0.06,0,0
2024,5,18,79,64,-999,0,0
2024,5,19,88,63,0,0,0
2024,5,20,91,64,0,0,0
2024,5,21,90,62,0,0,0
2024,5,22,87,60,0.66,0,0
2024,5,23,86,55,0.05,0,0
2024,5,24,77,58,-999,0,0
2024,5,25,87,59,0.25,0,0
2024,5,26,82,61,0.83,0,0
2024,5,27,86,64,0.52,0,0
2024,5,28,86,63,0,0,0
2024,5,29,82,58,0,0,0
2024,5,30,81,55,0,0,0
2024,5,31,83,59,0,0,0
2024,6,1,72,62,0.61,0,0
2024,6,2,87,65,-999,0,0
2024,6,3,90,65,-999,0,0
2024,6,4,84,67,0.07,0,0
2024,6,5,89,69,0.15,0,0
2024,6,6,89,71,0,0,0
2024,6,7,87,62,0,0,0
2024,6,8,88,59,0,0,0
2024,6,9,80,64,0.17,0,0
2024,6,10,84,59,0,0,0
2024,6,11,81,57,0,0,0
2024,6,12,84,57,0,0,0
2024,6,13,94,61,0,0,0
2024,6,14,96,68,0,0,0
2024,6,15,96,70,0,0,0
2024,6,16,98,72,0.7,0,0
2024,6,17,94,71,0,0,0
2024,6,18,89,74,-999,0,0
2024,6,19,87,69,0,0,0
2024,6,20,93,69,0,0,0
2024,6,21,96,70,0,0,0
2024,6,22,97,74,0,0,0
2024,6,23,94,72,0.04,0,0
2024,6,24,94,72,0,0,0
2024,6,25,98,69,0,0,0
2024,6,26,96,73,0.62,0,0
2024,6,27,88,72,0,0,0
2024,6,28,95,71,0,0,0
2024,6,29,97,71,0,0,0
2024,6,30,94,73,0.22,0,0
2024,7,1,85,67,0,0,0
2024,7,2,96,63,0,0,0
2024,7,3,96,70,0,0,0
2024,7,4,99,70,-999,0,0
2024,7,5,93,73,0.04,0,0
2024,7,6,90,72,0,0,0
2024,7,7,94,68,0,0,0
2024,7,8,99,71,0,0,0
2024,7,9,97,72,0.28,0,0
2024,7,10,89,71,0,0,0
2024,7,11,93,69,0,0,0
2024,7,12,96,71,0,0,0
2024,7,13,99,72,0,0,0
2024,7,14,100,72,0,0,0
2024,7,15,99,74,0,0,0
2024,7,16,96,76,0,0,0
2024,7,17,95,75,-999,0,0
2024,7,18,88,70,0.09,0,0
2024,7,19,84,65,0,0,0
2024,7,20,91,69,-999,0,0
2024,7,21,93,70,0.03,0,0
2024,7,22,89,72,-999,0,0
2024,7,23,81,72,0.26,0,0
2024,7,24,85,72,0.02,0,0
2024,7,25,89,72,0,0,0
2024,7,26,87,73,0.13,0,0
2024,7,27,93,72,0,0,0
2024,7,28,85,75,0.99,0,0
2024,7,29,86,73,0.34,0,0
2024,7,30,96,73,0.85,0,0
2024,7,31,97,73,0,0,0
2024,8,1,96,75,0.04,0,0
2024,8,2,93,68,0.32,0,0
2024,8,3,91,71,0,0,0
2024,8,4,94,69,0,0,0
2024,8,5,95,67,0,0,0
2024,8,6,96,71,0,0,0
2024,8,7,84,72,0,0,0
2024,8,8,92,70,0,0,0
2024,8,9,90,70,0,0,0
2024,8,10,84,65,0,0,0
2024,8,11,85,63,0,0,0
2024,8,12,87,66,0,0,0
2024,8,13,90,68,0,0,0
2024,8,14,91,72,0,0,0
2024,8,15,97,68,0,0,0
2024,8,16,97,73,0,0,0
2024,8,17,99,72,0.29,0,0
2024,8,18,90,70,0.02,0,0
2024,8,19,85,69,0,0,0
2024,8,20,83,64,0,0,0
2024,8,21,82,58,0,0,0
2024,8,22,89,63,0,0,0
2024,8,23,93,68,0,0,0
2024,8,24,93,65,0,0,0
2024,8,25,96,59,0,0,0
2024,8,26,99,57,0,0,0
2024,8,27,100,55,0,0,0
2024,8,28,101,59,0,0,0
2024,8,29,102,57,-999,0,0
2024,8,30,98,64,0.44,0,0
2024,8,31,94,62,0.1,0,0
2024,9,1,88,61,1.46,0,0
2024,9,2,86,66,0,0,0
2024,9,3,87,62,0,0,0
2024,9,4,85,65,0,0,0
2024,9,5,92,68,0,0,0
2024,9,6,93,57,0.04,0,0
2024,9,7,78,53,0,0,0
2024,9,8,78,51,0,0,0
2024,9,9,83,52,0,0,0
2024,9,10,91,54,0,0,0
2024,9,11,90,61,0,0,0
2024,9,12,79,63,0.11,0,0
2024,9,13,85,60,0.06,0,0
2024,9,14,83,66,0.47,0,0
2024,9,15,86,68,0,0,0
2024,9,16,90,68,0,0,0
2024,9,17,86,62,0,0,0
2024,9,18,86,64,0,0,0
2024,9,19,92,63,0,0,0
2024,9,20,96,63,0,0,0
2024,9,21,95,67,0.35,0,0
2024,9,22,93,69,-999,0,0
2024,9,23,90,67,0.21,0,0
2024,9,24,87,68,0.92,0,0
2024,9,25,76,66,0,0,0
2024,9,26,83,63,0.17,0,0
2024,9,27,72,62,4.45,0,0
2024,9,28,68,59,0.43,0,0
2024,9,29,75,61,0.11,0,0
2024,9,30,77,63,-999,0,0
2024,10,1,84,64,0,0,0
2024,10,2,77,59,0,0,0
2024,10,3,86,56,0,0,0
2024,10,4,89,59,0,0,0
2024,10,5,89,60,0,0,0
2024,10,6,90,63,0,0,0
2024,10,7,77,57,0,0,0
2024,10,8,77,51,0,0,0
2024,10,9,79,50,0,0,0
2024,10,10,82,51,0,0,0
2024,10,11,81,50,0,0,0
2024,10,12,83,51,0,0,0
2024,10,13,86,51,0,0,0
2024,10,14,67,47,0,0,0
2024,10,15,61,43,0,0,0
2024,10,16,62,40,0,0,0
2024,10,17,65,37,0,0,0
2024,10,18,71,39,0,0,0
2024,10,19,74,42,0,0,0
2024,10,20,77,42,0,0,0
2024,10,21,78,42,0,0,0
2024,10,22,81,45,0,0,0
2024,10,23,86,56,0,0,0
2024,10,24,79,51,0,0,0
2024,10,25,87,52,0,0,0
2024,10,26,71,55,0.05,0,0
2024,10,27,73,49,0,0,0
2024,10,28,80,48,0,0,0
2024,10,29,80,62,0,0,0
2024,10,30,81,59,0,0,0
2024,10,31,80,63,0.44,0,0
2024,11,1,68,50,-999,0,0
2024,11,2,74,48,0,0,0
2024,11,3,81,51,0,0,0
2024,11,4,80,62,0,0,0
2024,11,5,77,67,0,0,0
2024,11,6,80,68,0.12,0,0
2024,11,7,70,60,0,0,0
2024,11,8,66,54,-999,0,0
2024,11,9,66,50,0.71,0,0
2024,11,10,68,62,0.68,0,0
2024,11,11,72,50,-999,0,0
2024,11,12,67,47,0,0,0
2024,11,13,64,44,0.81,0,0
2024,11,14,64,53,0.12,0,0
2024,11,15,54,50,0,0,0
2024,11,16,66,41,0,0,0
2024,11,17,72,40,0,0,0
2024,11,18,78,52,0,0,0
2024,11,19,69,64,0.09,0,0
2024,11,20,65,47,0,0,0
2024,11,21,52,42,0,0,0
2024,11,22,53,42,0,0,0
2024,11,23,58,36,0,0,0
2024,11,24,67,36,0,0,0
2024,11,25,69,52,0.08,0,0
2024,11,26,53,37,0,0,0
2024,11,27,61,34,0.09,0,0
2024,11,28,58,38,0.02,0,0
2024,11,29,46,31,0,0,0
2024,11,30,46,24,0,0,0
2024,12,1,48,30,0,0,0
2024,12,2,41,23,0.01,0.2,0
2024,12,3,34,23,0,0,0
2024,12,4,57,22,0,0,0
2024,12,5,52,20,0,0,0
2024,12,6,38,17,0,0,0
2024,12,7,54,20,0,0,0
2024,12,8,59,39,0.78,0,0
2024,12,9,66,49,0.41,0,0
2024,12,10,62,40,0.14,0,0
2024,12,11,48,34,-999,-999,0
2024,12,12,50,27,0,0,0
2024,12,13,53,33,0,0,0
2024,12,14,65,38,0.22,0,0
2024,12,15,56,49,0.16,0,0
2024,12,16,63,54,1.09,0,0
2024,12,17,60,52,0,0,0
2024,12,18,64,41,0.49,0,0
2024,12,19,49,35,0,0,0
2024,12,20,42,33,0,0,0
2024,12,21,42,30,0,0,0
2024,12,22,45,24,0,0,0
2024,12,23,55,28,0,0,0
2024,12,24,57,41,-999,0,0
2024,12,25,63,39,0,0,0
2024,12,26,62,49,0,0,0
2024,12,27,59,52,0.54,0,0
2024,12,28,65,55,0.57,0,0
2024,12,29,64,49,0.3,0,0
2024,12,30,63,49,0,0,0
2024,12,31,61,44,-999,0,0
